2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [AAPL] Regime: +4 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [AAPL] Dropped 251 warm-up rows (250 rows remaining)
2026-04-22 18:36:32 | INFO     | src.features.technical_indicators | [AAPL] Feature matrix ready: 250 rows x 98 columns
2026-04-22 18:36:32 | INFO     | src.features.technical_indicators | [MSFT] Building features from 501 bars
2026-04-22 18:36:32 | WARNING  | src.features.technical_indicators | Candlestick patterns failed: module 'pandas_ta' has no attribute 'cdl_hammer'
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [MSFT] Trend: +25 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [MSFT] Momentum: +13 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [MSFT] Volatility: +18 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [MSFT] Volume: +11 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [MSFT] Returns: +18 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [MSFT] Patterns: +4 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [MSFT] Regime: +4 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [MSFT] Dropped 251 warm-up rows (250 rows remaining)
2026-04-22 18:36:32 | INFO     | src.features.technical_indicators | [MSFT] Feature matrix ready: 250 rows x 98 columns
2026-04-22 18:36:32 | INFO     | src.features.technical_indicators | [NVDA] Building features from 501 bars
2026-04-22 18:36:32 | WARNING  | src.features.technical_indicators | Candlestick patterns failed: module 'pandas_ta' has no attribute 'cdl_hammer'
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [NVDA] Trend: +25 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [NVDA] Momentum: +13 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [NVDA] Volatility: +18 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [NVDA] Volume: +11 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [NVDA] Returns: +18 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [NVDA] Patterns: +4 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [NVDA] Regime: +4 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [NVDA] Dropped 251 warm-up rows (250 rows remaining)
